Expected,Predicted,LIME explanations
7,6.88,"[('alcohol > 0.72', 0.7038060813954872), ('free sulfur dioxide <= -0.71', -0.25292626921905464), ('residual sugar <= -0.93', -0.11830339884036285), ('-0.18 < volatile acidity <= 0.42', -0.09906657267073853), ('density <= -0.76', 0.08886365221045268), ('fixed acidity > 0.52', -0.07744180484943333)]"
5,6.28,"[('alcohol > 0.72', 0.6941863868375574), ('free sulfur dioxide <= -0.71', -0.22736446515297262), ('residual sugar <= -0.93', -0.10805490618035964), ('-0.18 < volatile acidity <= 0.42', -0.10507826584599121), ('density <= -0.76', 0.09477747373586383), ('fixed acidity > 0.52', -0.07925729741969767)]"
6,6.08,"[('alcohol > 0.72', 0.710978927347969), ('free sulfur dioxide <= -0.71', -0.23610593838819993), ('-0.18 < volatile acidity <= 0.42', -0.14331321084536044), ('residual sugar <= -0.93', -0.10404607363082963), ('density <= -0.76', 0.08363942191666134), ('fixed acidity > 0.52', -0.0720553759640318)]"
7,6.02,"[('alcohol > 0.72', 0.6954055093350524), ('free sulfur dioxide <= -0.71', -0.24096493486146803), ('-0.18 < volatile acidity <= 0.42', -0.1289118714488735), ('fixed acidity > 0.52', -0.0919672132424221), ('residual sugar <= -0.93', -0.09164049960102937), ('density <= -0.76', 0.08378836630317271)]"
7,6.78,"[('alcohol > 0.72', 0.6979140277044581), ('free sulfur dioxide <= -0.71', -0.24424766557971944), ('-0.18 < volatile acidity <= 0.42', -0.11272669224641148), ('residual sugar <= -0.93', -0.10960299035791474), ('fixed acidity > 0.52', -0.07827391389685594), ('density <= -0.76', 0.07125692805469418)]"
7,6.4,"[('alcohol > 0.72', 0.7252815378133839), ('free sulfur dioxide <= -0.71', -0.2286147099375798), ('residual sugar <= -0.93', -0.12206028293835589), ('-0.18 < volatile acidity <= 0.42', -0.10611579630179702), ('density <= -0.76', 0.09032992479195143), ('fixed acidity > 0.52', -0.07837985871708181)]"
6,6.5,"[('alcohol > 0.72', 0.7083076596940561), ('free sulfur dioxide <= -0.71', -0.23291760766240027), ('residual sugar <= -0.93', -0.11943105796666251), ('-0.18 < volatile acidity <= 0.42', -0.10762482534179257), ('fixed acidity > 0.52', -0.09897347979207186), ('density <= -0.76', 0.06761833232296435)]"
6,6.04,"[('alcohol > 0.72', 0.6988697876479422), ('free sulfur dioxide <= -0.71', -0.22939852960720886), ('-0.18 < volatile acidity <= 0.42', -0.11754060117808238), ('residual sugar <= -0.93', -0.11063388654687932), ('density <= -0.76', 0.09398900669116711), ('fixed acidity > 0.52', -0.0924483395032023)]"
7,6.48,"[('alcohol > 0.72', 0.6794248676313239), ('free sulfur dioxide <= -0.71', -0.2370523140280393), ('-0.18 < volatile acidity <= 0.42', -0.11831766943339128), ('residual sugar <= -0.93', -0.10735972610722914), ('fixed acidity > 0.52', -0.08640307398144008), ('density <= -0.76', 0.06382736856979372)]"
7,5.64,"[('alcohol > 0.72', 0.7144088901381271), ('free sulfur dioxide <= -0.71', -0.259985470043864), ('-0.18 < volatile acidity <= 0.42', -0.11922197463842725), ('residual sugar <= -0.93', -0.10662494907960214), ('density <= -0.76', 0.08543100184370869), ('fixed acidity > 0.52', -0.07329321984265157)]"
5,5.58,"[('alcohol > 0.72', 0.7145139073545211), ('free sulfur dioxide <= -0.71', -0.24639833139532002), ('-0.18 < volatile acidity <= 0.42', -0.11959827832047366), ('residual sugar <= -0.93', -0.10939413008221255), ('density <= -0.76', 0.08703764139197731), ('fixed acidity > 0.52', -0.08682910545147417)]"
6,5.46,"[('alcohol > 0.72', 0.7051678142279564), ('free sulfur dioxide <= -0.71', -0.22438731364169126), ('residual sugar <= -0.93', -0.1197476599994101), ('-0.18 < volatile acidity <= 0.42', -0.1073670022918187), ('fixed acidity > 0.52', -0.10539325793181659), ('density <= -0.76', 0.0743273842829204)]"
6,5.98,"[('alcohol > 0.72', 0.7098176334973121), ('free sulfur dioxide <= -0.71', -0.24962446126584645), ('residual sugar <= -0.93', -0.1320385482387628), ('-0.18 < volatile acidity <= 0.42', -0.10173354808959018), ('fixed acidity > 0.52', -0.09110230468551526), ('density <= -0.76', 0.06565697237096833)]"
6,6.52,"[('alcohol > 0.72', 0.7007581594362354), ('free sulfur dioxide <= -0.71', -0.24433603679310206), ('-0.18 < volatile acidity <= 0.42', -0.11709470513881534), ('residual sugar <= -0.93', -0.1127198254211248), ('fixed acidity > 0.52', -0.08395736128457243), ('density <= -0.76', 0.07062198355036334)]"
6,6.0,"[('alcohol > 0.72', 0.6936425170942395), ('free sulfur dioxide <= -0.71', -0.2342419988817572), ('residual sugar <= -0.93', -0.11778594270738853), ('-0.18 < volatile acidity <= 0.42', -0.08903201362661689), ('fixed acidity > 0.52', -0.0794045324278835), ('density <= -0.76', 0.04992428321579889)]"
5,5.44,"[('alcohol > 0.72', 0.7279506531417013), ('free sulfur dioxide <= -0.71', -0.23941202738725126), ('-0.18 < volatile acidity <= 0.42', -0.1085291449703939), ('residual sugar <= -0.93', -0.10392219041904185), ('fixed acidity > 0.52', -0.08432987749460479), ('density <= -0.76', 0.06479779917590368)]"
8,6.44,"[('alcohol > 0.72', 0.6925601790862306), ('free sulfur dioxide <= -0.71', -0.243553478053358), ('residual sugar <= -0.93', -0.1278366703636827), ('-0.18 < volatile acidity <= 0.42', -0.12630903109276068), ('fixed acidity > 0.52', -0.08396060691992639), ('density <= -0.76', 0.07191524522051009)]"
8,5.92,"[('alcohol > 0.72', 0.7082916842108189), ('free sulfur dioxide <= -0.71', -0.2396138370536353), ('residual sugar <= -0.93', -0.10604033445343913), ('-0.18 < volatile acidity <= 0.42', -0.10040514296430988), ('fixed acidity > 0.52', -0.09460020244437974), ('density <= -0.76', 0.0625502212127465)]"
5,5.44,"[('alcohol > 0.72', 0.6934232448308026), ('free sulfur dioxide <= -0.71', -0.25960640109337957), ('residual sugar <= -0.93', -0.13698932832475322), ('-0.18 < volatile acidity <= 0.42', -0.1295016758090293), ('fixed acidity > 0.52', -0.09186519211198008), ('density <= -0.76', 0.06770431730243988)]"
6,6.02,"[('alcohol > 0.72', 0.7079008210207779), ('free sulfur dioxide <= -0.71', -0.2245798377129371), ('-0.18 < volatile acidity <= 0.42', -0.11627890038622825), ('residual sugar <= -0.93', -0.11598709365404204), ('fixed acidity > 0.52', -0.10179308880592898), ('density <= -0.76', 0.07686050263415248)]"
7,5.92,"[('alcohol > 0.72', 0.711351417112787), ('free sulfur dioxide <= -0.71', -0.24156933038611), ('residual sugar <= -0.93', -0.1112085264540072), ('-0.18 < volatile acidity <= 0.42', -0.10758786598117569), ('fixed acidity > 0.52', -0.10076966888057642), ('density <= -0.76', 0.053745396577526985)]"
6,5.52,"[('alcohol > 0.72', 0.6911298684762419), ('free sulfur dioxide <= -0.71', -0.21691324629597114), ('residual sugar <= -0.93', -0.127971557190753), ('-0.18 < volatile acidity <= 0.42', -0.11373418033349991), ('fixed acidity > 0.52', -0.08840191678735368), ('density <= -0.76', 0.06624926614794431)]"
6,5.26,"[('alcohol > 0.72', 0.7055078387515498), ('free sulfur dioxide <= -0.71', -0.25443297791025965), ('residual sugar <= -0.93', -0.12696893908652898), ('-0.18 < volatile acidity <= 0.42', -0.1158045335402552), ('density <= -0.76', 0.09713913072014088), ('fixed acidity > 0.52', -0.08191554341276186)]"
6,6.72,"[('alcohol > 0.72', 0.7220610345860835), ('free sulfur dioxide <= -0.71', -0.2644615781413619), ('residual sugar <= -0.93', -0.12104055662110536), ('-0.18 < volatile acidity <= 0.42', -0.1087981171741541), ('fixed acidity > 0.52', -0.09179802666623493), ('density <= -0.76', 0.06625360450964998)]"
7,6.74,"[('alcohol > 0.72', 0.7224306490538226), ('free sulfur dioxide <= -0.71', -0.2338587056624023), ('residual sugar <= -0.93', -0.11763608159181453), ('-0.18 < volatile acidity <= 0.42', -0.10378318855137512), ('fixed acidity > 0.52', -0.09803166444495956), ('density <= -0.76', 0.0956098085228285)]"
8,6.08,"[('alcohol > 0.72', 0.7068036570095859), ('free sulfur dioxide <= -0.71', -0.24831895987088806), ('residual sugar <= -0.93', -0.12697048125868743), ('-0.18 < volatile acidity <= 0.42', -0.11386335229533358), ('fixed acidity > 0.52', -0.07889090481215068), ('density <= -0.76', 0.07771661313678965)]"
6,6.04,"[('alcohol > 0.72', 0.7128577154993356), ('free sulfur dioxide <= -0.71', -0.23357858462509296), ('residual sugar <= -0.93', -0.11837031102610615), ('fixed acidity > 0.52', -0.10064871305021085), ('-0.18 < volatile acidity <= 0.42', -0.09656489925697065), ('density <= -0.76', 0.06962843820596881)]"
7,6.74,"[('alcohol > 0.72', 0.7074465528002103), ('free sulfur dioxide <= -0.71', -0.24998956352589127), ('-0.18 < volatile acidity <= 0.42', -0.13137145729932595), ('fixed acidity > 0.52', -0.12827295217643517), ('residual sugar <= -0.93', -0.10373563690870573), ('density <= -0.76', 0.08138932581331931)]"
6,6.16,"[('alcohol > 0.72', 0.7082551709658611), ('free sulfur dioxide <= -0.71', -0.2320167618071061), ('residual sugar <= -0.93', -0.09993451128683192), ('-0.18 < volatile acidity <= 0.42', -0.09432900928024292), ('density <= -0.76', 0.0880305752112466), ('fixed acidity > 0.52', -0.07236071564717272)]"
5,5.32,"[('alcohol > 0.72', 0.7193771077359131), ('free sulfur dioxide <= -0.71', -0.23069394121736747), ('-0.18 < volatile acidity <= 0.42', -0.1234967180947051), ('residual sugar <= -0.93', -0.11895742763172305), ('fixed acidity > 0.52', -0.08240471519508095), ('density <= -0.76', 0.07004471608661594)]"
5,5.42,"[('alcohol > 0.72', 0.7142834462852075), ('free sulfur dioxide <= -0.71', -0.24311717269887168), ('-0.18 < volatile acidity <= 0.42', -0.13059622421317665), ('residual sugar <= -0.93', -0.12686965090761243), ('fixed acidity > 0.52', -0.10746832651498144), ('density <= -0.76', 0.07332605027780723)]"
5,5.28,"[('alcohol > 0.72', 0.7090610686360992), ('free sulfur dioxide <= -0.71', -0.23756727472292336), ('residual sugar <= -0.93', -0.12782680508309632), ('-0.18 < volatile acidity <= 0.42', -0.12178758626173246), ('fixed acidity > 0.52', -0.07136579651322204), ('density <= -0.76', 0.05909148403366719)]"
5,5.6,"[('alcohol > 0.72', 0.7124036277661501), ('free sulfur dioxide <= -0.71', -0.2442937671864758), ('residual sugar <= -0.93', -0.10776323553052074), ('-0.18 < volatile acidity <= 0.42', -0.10581977790641356), ('fixed acidity > 0.52', -0.09707218779927887), ('density <= -0.76', 0.052947890054308354)]"
5,5.34,"[('alcohol > 0.72', 0.6909120195314569), ('free sulfur dioxide <= -0.71', -0.24872232034777728), ('residual sugar <= -0.93', -0.11719060111930658), ('-0.18 < volatile acidity <= 0.42', -0.11015136877990836), ('fixed acidity > 0.52', -0.10248766245309102), ('density <= -0.76', 0.06368076086636236)]"
5,5.22,"[('alcohol > 0.72', 0.6945302001976825), ('free sulfur dioxide <= -0.71', -0.21831137558742447), ('-0.18 < volatile acidity <= 0.42', -0.13034228116288563), ('residual sugar <= -0.93', -0.09586625748434245), ('fixed acidity > 0.52', -0.08013535434836595), ('density <= -0.76', 0.06669631845080018)]"
5,5.4,"[('alcohol > 0.72', 0.7003465073610924), ('free sulfur dioxide <= -0.71', -0.2382814605810057), ('residual sugar <= -0.93', -0.1189065598756449), ('-0.18 < volatile acidity <= 0.42', -0.10430917477778795), ('fixed acidity > 0.52', -0.09996704753051934), ('density <= -0.76', 0.08706337247802895)]"
6,6.66,"[('alcohol > 0.72', 0.7146039308568862), ('free sulfur dioxide <= -0.71', -0.24925924276844094), ('residual sugar <= -0.93', -0.1111110953190833), ('-0.18 < volatile acidity <= 0.42', -0.10585434302315574), ('fixed acidity > 0.52', -0.09356618260851242), ('density <= -0.76', 0.0758986780034287)]"
6,6.02,"[('alcohol > 0.72', 0.6977032064757326), ('free sulfur dioxide <= -0.71', -0.23618511593216593), ('-0.18 < volatile acidity <= 0.42', -0.1200081886702068), ('residual sugar <= -0.93', -0.10191422406351032), ('density <= -0.76', 0.08477782731552536), ('fixed acidity > 0.52', -0.07869181718177683)]"
5,5.46,"[('alcohol > 0.72', 0.7036275821478027), ('free sulfur dioxide <= -0.71', -0.2273458350391958), ('-0.18 < volatile acidity <= 0.42', -0.13154860006178712), ('residual sugar <= -0.93', -0.1191454553124225), ('density <= -0.76', 0.0873360047665474), ('fixed acidity > 0.52', -0.06821294819091263)]"
5,5.08,"[('alcohol > 0.72', 0.7010927565224906), ('free sulfur dioxide <= -0.71', -0.253504702279638), ('-0.18 < volatile acidity <= 0.42', -0.1273502397886561), ('residual sugar <= -0.93', -0.1035189559790662), ('fixed acidity > 0.52', -0.07552270160116556), ('density <= -0.76', 0.06772620731028932)]"
5,4.7,"[('alcohol > 0.72', 0.7060035503091147), ('free sulfur dioxide <= -0.71', -0.24773840458614502), ('residual sugar <= -0.93', -0.12776666003284834), ('density <= -0.76', 0.08708758638697733), ('fixed acidity > 0.52', -0.08573507557924195), ('-0.18 < volatile acidity <= 0.42', -0.07816529499989858)]"
6,5.58,"[('alcohol > 0.72', 0.7349615380353932), ('free sulfur dioxide <= -0.71', -0.22985438682592707), ('density <= -0.76', 0.10233658223103974), ('-0.18 < volatile acidity <= 0.42', -0.10175189506144655), ('residual sugar <= -0.93', -0.09899898163584514), ('fixed acidity > 0.52', -0.08535708641511235)]"
6,5.84,"[('alcohol > 0.72', 0.705247154476234), ('free sulfur dioxide <= -0.71', -0.24500451797018952), ('residual sugar <= -0.93', -0.1192457796730332), ('-0.18 < volatile acidity <= 0.42', -0.11650466138363752), ('density <= -0.76', 0.07321225990476538), ('fixed acidity > 0.52', -0.07118013973757711)]"
4,4.54,"[('alcohol > 0.72', 0.7120701658061489), ('free sulfur dioxide <= -0.71', -0.2606813207788116), ('residual sugar <= -0.93', -0.11774748938262604), ('fixed acidity > 0.52', -0.10136244107837965), ('-0.18 < volatile acidity <= 0.42', -0.08975899779306486), ('density <= -0.76', 0.07027583009104935)]"
6,5.26,"[('alcohol > 0.72', 0.698557789866831), ('free sulfur dioxide <= -0.71', -0.23032852021042305), ('-0.18 < volatile acidity <= 0.42', -0.1326558959557482), ('residual sugar <= -0.93', -0.10419725010057383), ('fixed acidity > 0.52', -0.0867740241646839), ('density <= -0.76', 0.06003311833371179)]"
6,6.28,"[('alcohol > 0.72', 0.7201739705225628), ('free sulfur dioxide <= -0.71', -0.23064299621676967), ('residual sugar <= -0.93', -0.11470166160404689), ('-0.18 < volatile acidity <= 0.42', -0.10134262718621836), ('fixed acidity > 0.52', -0.08980195853499744), ('density <= -0.76', 0.088962786926951)]"
5,5.06,"[('alcohol > 0.72', 0.7177019342699151), ('free sulfur dioxide <= -0.71', -0.24273028063156676), ('residual sugar <= -0.93', -0.1273950424758277), ('-0.18 < volatile acidity <= 0.42', -0.08962362812223791), ('density <= -0.76', 0.08180285360859708), ('fixed acidity > 0.52', -0.07498000157261496)]"
6,5.86,"[('alcohol > 0.72', 0.6934712232352285), ('free sulfur dioxide <= -0.71', -0.23087306662865667), ('-0.18 < volatile acidity <= 0.42', -0.11609705410848914), ('fixed acidity > 0.52', -0.10105592874487654), ('residual sugar <= -0.93', -0.09960497441887031), ('density <= -0.76', 0.05905861384618284)]"
5,5.48,"[('alcohol > 0.72', 0.708481361441025), ('free sulfur dioxide <= -0.71', -0.25143199335665367), ('-0.18 < volatile acidity <= 0.42', -0.13236511987289712), ('density <= -0.76', 0.0934536479435423), ('residual sugar <= -0.93', -0.08488304364452992), ('fixed acidity > 0.52', -0.07134102941901178)]"
6,5.9,"[('alcohol > 0.72', 0.7028552458918433), ('free sulfur dioxide <= -0.71', -0.23874069699771636), ('residual sugar <= -0.93', -0.11079668110714519), ('fixed acidity > 0.52', -0.10678721579772729), ('-0.18 < volatile acidity <= 0.42', -0.0999233482768889), ('density <= -0.76', 0.08128488851350951)]"
6,5.58,"[('alcohol > 0.72', 0.709948521197038), ('free sulfur dioxide <= -0.71', -0.23031546085171226), ('-0.18 < volatile acidity <= 0.42', -0.10797840437135063), ('residual sugar <= -0.93', -0.10766869128537908), ('fixed acidity > 0.52', -0.09744147665422095), ('density <= -0.76', 0.08801867600014482)]"
6,5.8,"[('alcohol > 0.72', 0.6958791688420212), ('free sulfur dioxide <= -0.71', -0.23326541258470845), ('residual sugar <= -0.93', -0.10476583317251748), ('-0.18 < volatile acidity <= 0.42', -0.0971962334109709), ('fixed acidity > 0.52', -0.0869567268287705), ('density <= -0.76', 0.07413721625575515)]"
7,5.86,"[('alcohol > 0.72', 0.6989783405584559), ('free sulfur dioxide <= -0.71', -0.27183267850240833), ('residual sugar <= -0.93', -0.11532105719624795), ('-0.18 < volatile acidity <= 0.42', -0.0980734083704978), ('fixed acidity > 0.52', -0.08273856461811124), ('density <= -0.76', 0.07857933350813748)]"
6,5.86,"[('alcohol > 0.72', 0.6989651699230116), ('free sulfur dioxide <= -0.71', -0.2523206952742356), ('residual sugar <= -0.93', -0.1177659234036351), ('fixed acidity > 0.52', -0.09341854129995306), ('-0.18 < volatile acidity <= 0.42', -0.08222159495083757), ('density <= -0.76', 0.06160456613125393)]"
7,6.24,"[('alcohol > 0.72', 0.7145908027760135), ('free sulfur dioxide <= -0.71', -0.2560968477639304), ('residual sugar <= -0.93', -0.11943513231122553), ('-0.18 < volatile acidity <= 0.42', -0.10872016461084019), ('fixed acidity > 0.52', -0.09113472287273189), ('density <= -0.76', 0.0868028276103646)]"
5,5.06,"[('alcohol > 0.72', 0.7086719772267779), ('free sulfur dioxide <= -0.71', -0.23732482828667453), ('-0.18 < volatile acidity <= 0.42', -0.14478396331580326), ('residual sugar <= -0.93', -0.10781987823814138), ('density <= -0.76', 0.08041513022505496), ('fixed acidity > 0.52', -0.07764845294611432)]"
7,6.34,"[('alcohol > 0.72', 0.6979396411308563), ('free sulfur dioxide <= -0.71', -0.2227634698702336), ('-0.18 < volatile acidity <= 0.42', -0.13290707832837545), ('residual sugar <= -0.93', -0.11775501433300156), ('fixed acidity > 0.52', -0.08580918271598244), ('density <= -0.76', 0.06994832366498609)]"
6,5.38,"[('alcohol > 0.72', 0.7256439253878032), ('free sulfur dioxide <= -0.71', -0.2379775468238778), ('-0.18 < volatile acidity <= 0.42', -0.1279345738084059), ('residual sugar <= -0.93', -0.11359075357088678), ('density <= -0.76', 0.0744816038854307), ('fixed acidity > 0.52', -0.07071552891309163)]"
7,6.04,"[('alcohol > 0.72', 0.7124702505549655), ('free sulfur dioxide <= -0.71', -0.25120898141285497), ('-0.18 < volatile acidity <= 0.42', -0.1047293426939145), ('residual sugar <= -0.93', -0.1003893395561121), ('fixed acidity > 0.52', -0.07407241354943025), ('density <= -0.76', 0.07095967258680932)]"
6,5.64,"[('alcohol > 0.72', 0.711178311762945), ('free sulfur dioxide <= -0.71', -0.23469598924180043), ('-0.18 < volatile acidity <= 0.42', -0.11074103935751056), ('residual sugar <= -0.93', -0.1011413763085105), ('fixed acidity > 0.52', -0.09701787772390247), ('density <= -0.76', 0.06783597276560019)]"
6,6.02,"[('alcohol > 0.72', 0.6914684445858751), ('free sulfur dioxide <= -0.71', -0.23419610655239126), ('residual sugar <= -0.93', -0.12205140689408148), ('-0.18 < volatile acidity <= 0.42', -0.11856425074543905), ('fixed acidity > 0.52', -0.08306303506467862), ('density <= -0.76', 0.07423973907617135)]"
9,6.74,"[('alcohol > 0.72', 0.702014753009592), ('free sulfur dioxide <= -0.71', -0.25798381130701137), ('-0.18 < volatile acidity <= 0.42', -0.1418902602909949), ('residual sugar <= -0.93', -0.12938731143135232), ('fixed acidity > 0.52', -0.099382028900823), ('density <= -0.76', 0.06777374299727852)]"
7,5.82,"[('alcohol > 0.72', 0.7083441303696699), ('free sulfur dioxide <= -0.71', -0.22907780055791094), ('residual sugar <= -0.93', -0.11534969002770325), ('-0.18 < volatile acidity <= 0.42', -0.10993423211454657), ('fixed acidity > 0.52', -0.09701270518480043), ('density <= -0.76', 0.07859916056238378)]"
5,5.18,"[('alcohol > 0.72', 0.7151498258308335), ('free sulfur dioxide <= -0.71', -0.2535769809670893), ('residual sugar <= -0.93', -0.11009871872755522), ('-0.18 < volatile acidity <= 0.42', -0.09718460441397692), ('density <= -0.76', 0.09495980038667937), ('fixed acidity > 0.52', -0.07674222648292782)]"
7,6.38,"[('alcohol > 0.72', 0.7123783149319403), ('free sulfur dioxide <= -0.71', -0.22768072765788164), ('-0.18 < volatile acidity <= 0.42', -0.12434143008237974), ('residual sugar <= -0.93', -0.11935806973605108), ('density <= -0.76', 0.06779786928526137), ('fixed acidity > 0.52', -0.06089287163921126)]"
5,5.86,"[('alcohol > 0.72', 0.7115887526395722), ('free sulfur dioxide <= -0.71', -0.2392530216836666), ('-0.18 < volatile acidity <= 0.42', -0.10799296196566467), ('residual sugar <= -0.93', -0.0930956224085208), ('fixed acidity > 0.52', -0.08526911077918405), ('density <= -0.76', 0.0785082367051513)]"
6,5.34,"[('alcohol > 0.72', 0.7108680390261364), ('free sulfur dioxide <= -0.71', -0.2339675583968465), ('-0.18 < volatile acidity <= 0.42', -0.11801775792402569), ('residual sugar <= -0.93', -0.11012572633045298), ('fixed acidity > 0.52', -0.09468624816285275), ('density <= -0.76', 0.0717023344673871)]"
6,5.52,"[('alcohol > 0.72', 0.7076300279632582), ('free sulfur dioxide <= -0.71', -0.23526367035888057), ('residual sugar <= -0.93', -0.1271281048051902), ('-0.18 < volatile acidity <= 0.42', -0.11164746628456959), ('fixed acidity > 0.52', -0.07912724863484985), ('density <= -0.76', 0.07626139541940108)]"
6,5.62,"[('alcohol > 0.72', 0.7021825416526597), ('free sulfur dioxide <= -0.71', -0.23747042373293376), ('-0.18 < volatile acidity <= 0.42', -0.1249687945299948), ('residual sugar <= -0.93', -0.11570763570212313), ('fixed acidity > 0.52', -0.07670802081104648), ('density <= -0.76', 0.0684749641921299)]"
5,5.18,"[('alcohol > 0.72', 0.7135253138615819), ('free sulfur dioxide <= -0.71', -0.24510307313729246), ('residual sugar <= -0.93', -0.1189106039318697), ('-0.18 < volatile acidity <= 0.42', -0.1126866461330704), ('density <= -0.76', 0.09390308030079036), ('fixed acidity > 0.52', -0.08231487197141099)]"
6,5.84,"[('alcohol > 0.72', 0.7183724070603633), ('free sulfur dioxide <= -0.71', -0.2504528604186112), ('residual sugar <= -0.93', -0.11556933102523004), ('-0.18 < volatile acidity <= 0.42', -0.11397684754302734), ('fixed acidity > 0.52', -0.09747387547487645), ('density <= -0.76', 0.07714500144593979)]"
6,5.42,"[('alcohol > 0.72', 0.7070049856968914), ('free sulfur dioxide <= -0.71', -0.23795541744464796), ('residual sugar <= -0.93', -0.11738597689970805), ('-0.18 < volatile acidity <= 0.42', -0.11241770337626339), ('fixed acidity > 0.52', -0.09090507860663706), ('density <= -0.76', 0.06743931931854567)]"
5,5.02,"[('alcohol > 0.72', 0.7075207624347934), ('free sulfur dioxide <= -0.71', -0.2363911538866267), ('-0.18 < volatile acidity <= 0.42', -0.11755512895724923), ('residual sugar <= -0.93', -0.10945458784967474), ('fixed acidity > 0.52', -0.09039313542666998), ('density <= -0.76', 0.08504923688568969)]"
6,5.9,"[('alcohol > 0.72', 0.7210422187787091), ('free sulfur dioxide <= -0.71', -0.23321681142245287), ('-0.18 < volatile acidity <= 0.42', -0.11030530324303017), ('residual sugar <= -0.93', -0.09854801613087173), ('fixed acidity > 0.52', -0.08754739966985428), ('density <= -0.76', 0.06713930581443021)]"
7,5.86,"[('alcohol > 0.72', 0.6998249595574788), ('free sulfur dioxide <= -0.71', -0.242310954278158), ('-0.18 < volatile acidity <= 0.42', -0.11457706096919058), ('residual sugar <= -0.93', -0.09690041363767551), ('fixed acidity > 0.52', -0.08016440290469913), ('density <= -0.76', 0.06676074445991664)]"
6,5.74,"[('alcohol > 0.72', 0.7148305718553039), ('free sulfur dioxide <= -0.71', -0.26869187137942946), ('residual sugar <= -0.93', -0.1182400529810388), ('-0.18 < volatile acidity <= 0.42', -0.11504197030366872), ('density <= -0.76', 0.09623799455555997), ('fixed acidity > 0.52', -0.08787936457275769)]"
5,5.56,"[('alcohol > 0.72', 0.6949293436946571), ('free sulfur dioxide <= -0.71', -0.24622472036232543), ('-0.18 < volatile acidity <= 0.42', -0.11585512858431822), ('residual sugar <= -0.93', -0.11129427916779663), ('density <= -0.76', 0.0865955612489118), ('fixed acidity > 0.52', -0.0859119041878903)]"
5,5.32,"[('alcohol > 0.72', 0.71689455019703), ('free sulfur dioxide <= -0.71', -0.2280882345960603), ('-0.18 < volatile acidity <= 0.42', -0.12824471281586275), ('residual sugar <= -0.93', -0.10702320638512355), ('fixed acidity > 0.52', -0.07560877785289563), ('density <= -0.76', 0.060721989138901526)]"
7,6.8,"[('alcohol > 0.72', 0.6999727754918658), ('free sulfur dioxide <= -0.71', -0.24563196356406716), ('residual sugar <= -0.93', -0.1307852489800248), ('-0.18 < volatile acidity <= 0.42', -0.10877839260425858), ('density <= -0.76', 0.09693319748884213), ('fixed acidity > 0.52', -0.08733046890138924)]"
5,5.36,"[('alcohol > 0.72', 0.7049601703536604), ('free sulfur dioxide <= -0.71', -0.2312074162816445), ('-0.18 < volatile acidity <= 0.42', -0.11243180059197568), ('residual sugar <= -0.93', -0.10814550066767621), ('fixed acidity > 0.52', -0.07693343727996182), ('density <= -0.76', 0.05593105411270801)]"
6,6.02,"[('alcohol > 0.72', 0.7003361524654845), ('free sulfur dioxide <= -0.71', -0.24470739725480353), ('residual sugar <= -0.93', -0.13482660701911164), ('-0.18 < volatile acidity <= 0.42', -0.09843416685118898), ('fixed acidity > 0.52', -0.07848687327425735), ('density <= -0.76', 0.07134323406690386)]"
6,6.76,"[('alcohol > 0.72', 0.7239117820094364), ('free sulfur dioxide <= -0.71', -0.26112387479685295), ('residual sugar <= -0.93', -0.12124122202562518), ('-0.18 < volatile acidity <= 0.42', -0.10252731589356187), ('fixed acidity > 0.52', -0.09111157035381513), ('density <= -0.76', 0.08161995495059551)]"
7,6.44,"[('alcohol > 0.72', 0.711628319176481), ('free sulfur dioxide <= -0.71', -0.23873170395981874), ('-0.18 < volatile acidity <= 0.42', -0.119685062822412), ('residual sugar <= -0.93', -0.1127802816511739), ('density <= -0.76', 0.08890287603584851), ('fixed acidity > 0.52', -0.08693947652140957)]"
7,6.74,"[('alcohol > 0.72', 0.7076409520227227), ('free sulfur dioxide <= -0.71', -0.22016911264241004), ('-0.18 < volatile acidity <= 0.42', -0.11830929514992114), ('fixed acidity > 0.52', -0.10772828222229014), ('residual sugar <= -0.93', -0.09704968998156817), ('density <= -0.76', 0.0645767155914605)]"
4,5.0,"[('alcohol > 0.72', 0.7162775207669324), ('free sulfur dioxide <= -0.71', -0.26542452734006833), ('residual sugar <= -0.93', -0.12474792216579846), ('-0.18 < volatile acidity <= 0.42', -0.10052252458916626), ('density <= -0.76', 0.0964149176058305), ('fixed acidity > 0.52', -0.08945055364884874)]"
5,5.62,"[('alcohol > 0.72', 0.7051633899384046), ('free sulfur dioxide <= -0.71', -0.2533481424553221), ('fixed acidity > 0.52', -0.1282015994943712), ('residual sugar <= -0.93', -0.12234673238334416), ('-0.18 < volatile acidity <= 0.42', -0.11630405106488186), ('density <= -0.76', 0.06524163782122855)]"
5,5.2,"[('alcohol > 0.72', 0.6908921716556727), ('free sulfur dioxide <= -0.71', -0.2213936181584843), ('-0.18 < volatile acidity <= 0.42', -0.11043858512195856), ('fixed acidity > 0.52', -0.10809169249647622), ('residual sugar <= -0.93', -0.10757598350092012), ('density <= -0.76', 0.07113569465288505)]"
5,5.3,"[('alcohol > 0.72', 0.7090633967157077), ('free sulfur dioxide <= -0.71', -0.23793678175340174), ('residual sugar <= -0.93', -0.11307380146247267), ('-0.18 < volatile acidity <= 0.42', -0.10915649702935971), ('fixed acidity > 0.52', -0.10036721015430666), ('density <= -0.76', 0.0812836495235037)]"
